timestamp,angle,trackPos,speedX,speedY,speedZ,rpm,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,target_steer,target_accel,target_brake
2.028,-0.00348776,-0.000198746,2.19436,0.0216648,0.133558,5235.99,1.62157,2.08028,2.05467,2.05467,5.00102,5.07505,5.31523,5.76308,6.50932,7.748,9.94198,14.4832,28.2411,200.0,29.3692,14.7576,10.0588,7.80958,6.54493,5.78404,5.32663,5.07928,4.99904,-0.00087194,0.9648156279111679,0.0
2.05,-0.00340002,-0.000180531,2.85024,0.0130859,0.175709,5235.99,3.03915,2.07608,2.93797,2.93797,5.00093,5.07504,5.3153,5.76326,6.50968,7.74867,9.9433,14.4864,28.2544,200.0,29.3549,14.7543,10.0575,7.8089,6.54457,5.78385,5.32655,5.07929,4.99913,-0.000850005,0.9718525023289344,0.0
2.072,-0.00338858,-0.000150013,3.5331,-0.00258451,0.215668,5235.99,3.36011,3.71808,3.19806,3.19806,5.00078,5.07489,5.31516,5.76313,6.50954,7.74854,9.9432,14.4864,28.2553,200.0,29.3538,14.7543,10.0576,7.80903,6.5447,5.78399,5.32669,5.07944,4.99928,-0.000847145,0.9774820018631475,0.0
2.094,-0.00341099,-0.000150013,4.26057,-0.00465798,0.253994,5235.99,3.21844,3.92296,3.80477,3.80477,5.00078,5.07487,5.31512,5.76305,6.50942,7.74833,9.94281,14.4855,28.2518,200.0,29.3576,14.7552,10.058,7.80924,6.54483,5.78406,5.32674,5.07946,4.99928,-0.0008527475,0.981985601490518,0.0
2.116,-0.00334185,-0.000125694,4.89404,0.0073193,0.294179,5235.99,5.1,4.58672,4.6622,4.6622,5.00066,5.07481,5.31512,5.76314,6.50964,7.74878,9.94376,14.4879,28.262,200.0,29.3466,14.7527,10.057,7.80878,6.5446,5.78397,5.32673,5.07952,4.9994,-0.0008354625,0.9855884811924144,0.0
2.138,-0.00330847,-0.000113487,5.64207,0.00310456,0.335543,5235.99,4.92322,4.58426,5.24557,5.24557,5.00059,5.07478,5.31512,5.76318,6.50974,7.74899,9.94421,14.4891,28.2669,200.0,29.3413,14.7515,10.0566,7.80857,6.5445,5.78393,5.32673,5.07955,4.99946,-0.0008271175,0.9884707849539315,0.0
2.16,-0.00333565,-0.000113583,6.28501,-0.0013757,0.377822,5235.99,5.77892,6.30645,5.94274,5.94274,5.0006,5.07475,5.31507,5.76309,6.50959,7.74874,9.94374,14.488,28.2626,200.0,29.3459,14.7526,10.057,7.80882,6.54465,5.78402,5.32678,5.07957,4.99946,-0.0008339125,0.9907766279631451,0.0
2.182,-0.00328987,-0.000113678,7.0196,9.84434e-05,0.42003,5235.99,6.84652,5.88308,6.52961,6.52961,5.0006,5.07479,5.31516,5.76324,6.50984,7.74916,9.94453,14.4898,28.2698,200.0,29.3381,14.7508,10.0562,7.80839,6.54439,5.78386,5.32669,5.07953,4.99946,-0.0008224675,0.9926213023705162,0.0
2.204,-0.00330799,-0.00010767,7.72155,-0.00104954,0.462922,5235.99,6.50672,7.02607,7.15459,7.15459,5.00057,5.07475,5.31509,5.76315,6.50971,7.74895,9.94416,14.489,28.2668,200.0,29.3414,14.7516,10.0566,7.80861,6.54454,5.78396,5.32676,5.07958,4.99949,-0.0008269975,0.9940970418964129,0.0
2.226,-0.0033099,-0.000101662,8.3779,7.45517e-05,0.505602,5235.99,7.89562,8.1898,7.88693,7.88693,5.00054,5.07472,5.31506,5.76311,6.50965,7.74889,9.94406,14.4888,28.2663,200.0,29.3419,14.7518,10.0567,7.80867,6.54459,5.784,5.32679,5.07961,4.99952,-0.000827475,0.9952776335171303,0.0
2.248,-0.00327652,-4.07219e-05,9.12108,-0.00101343,0.547666,5235.99,8.54056,7.88811,8.48171,8.48171,5.00023,5.07444,5.3148,5.76287,6.50944,7.74872,9.94403,14.4893,28.2699,200.0,29.338,14.7513,10.0567,7.80883,6.5448,5.78424,5.32705,5.07989,4.99982,-0.00081913,0.9962221068137043,0.0
2.27,-0.00328749,2.63214e-05,9.81977,-0.00141274,0.589906,5235.99,8.47516,8.92554,9.13382,9.13382,4.9999,5.07409,5.31442,5.76244,6.50894,7.7481,9.94317,14.4878,28.2662,200.0,29.3418,14.7527,10.0576,7.80946,6.5453,5.78467,5.32743,5.08024,5.00016,-0.0008218725,0.9969776854509634,0.0
2.292,-0.00328558,9.33647e-05,10.4842,-0.00137044,0.631611,5235.99,9.84354,10.0359,9.82336,9.82336,4.99956,5.07375,5.31407,5.76207,6.50852,7.7476,9.94254,14.487,28.2647,200.0,29.3435,14.7536,10.0582,7.80997,6.54573,5.78505,5.32779,5.08058,5.00049,-0.000821395,0.9975821483607707,0.0
2.314,-0.00326222,0.000160408,11.219,-0.00163688,0.673469,5235.99,10.4361,9.9898,10.451,10.451,4.99922,5.07343,5.31376,5.76176,6.50821,7.74729,9.94227,14.4869,28.2664,200.0,29.3415,14.7537,10.0585,7.81027,6.54604,5.78536,5.3281,5.0809,5.00083,-0.000815555,0.9980657186886166,0.0
